OMNR Code,lowest taxonomic level achievable for biomass,name to use ,Common Name(s),Family,Species,General Abundance,Tolerance,Trophic Class,Thermal Regime,General Habitat(s),Environment,Reproductive Code,Reproductive Guild
11,10,Ichthyomyzon,American Brook Lamprey,Petromyzontidae - lampreys,Lethenteron appendix,uncommon,intolerant,herbivore,coldwater,riverine,benthic,A.2.3,Nonguarders: Brood hiders: Lithophils
12,10,Ichthyomyzon,Northern Brook Lamprey,Petromyzontidae - lampreys,Ichthyomyzon fossor,uncommon,intolerant,herbivore,coolwater,riverine,benthic,A.2.3,Nonguarders: Brood hiders: Lithophils
13,10,Ichthyomyzon,Silver Lamprey,Petromyzontidae - lampreys,Ichthyomyzon unicuspis,uncommon,intermediate,herbivore/detritivore (carnivore),coolwater,lacustrine; riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
14,14,Lamprey,Sea Lamprey,Petromyzontidae - lampreys,Petromyzon marinus,common,intermediate,herbivore/detritivore (carnivore),coolwater,lacustrine; marine*,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
15,10,Ichthyomyzon,Ichthyomyzon sp,,,uncommon,intolerant,herbivore,coldwater,riverine,benthic,A.2.3,Nonguarders: Brood hiders: Lithophils
16,10,Ichthyomyzon,Chestnut Lamprey,Petromyzontidae - lampreys,Ichthyomyzon castaneus,rare,intermediate,herbivore (carnivore),coolwater,lacustrine; riverine,benthic,A.2.3,Nonguarders: Brood hiders: Lithophils
21,21,Paddlefish,Paddlefish,Polyodontidae - paddlefishes,Polyodon spathula,extirpated,intolerant,invertivore/planktivore,warmwater,lacustrine; riverine,pelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
31,31,Lake Sturgeon,Lake Sturgeon,Acipenseridae - sturgeons,Acipenser fulvescens,uncommon,intermediate,invertivore/herbivore,coolwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
41,41,Longnose Gar,Longnose Gar,Lepisosteidae - gars,Lepisosteus osseus,common,tolerant,carnivore,warmwater,lacustrine; riverine,benthopelagic,A.1.4,Nonguarders: Open substratum spawners: Phyto-lithophils
42,42,Spotted Gar,Spotted Gar,Lepisosteidae - gars,Lepisosteus oculatus,rare,intermediate,carnivore,warmwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
50,51,Bowfin,Amidae,Amiida - bowfins,Amia calva,common,intermediate,carnivore,warmwater,lacustrine; riverine,benthopelagic,B.2.5,Guarders: Nest spawners: Phytophils
51,51,Bowfin,Bowfin,Amiida - bowfins,Amia calva,common,intermediate,carnivore,warmwater,lacustrine; riverine,benthopelagic,B.2.5,Guarders: Nest spawners: Phytophils
61,61,Alewife,Alewife,Clupeidae - herrings,Alosa pseudoharengus,common,intermediate,planktivore,coldwater,lacustrine; marine*,pelagic,A.1.4,Nonguarders: Open substratum spawners: Phyto-lithophils
62,62,American Shad,American Shad,Clupeidae - herrings,Alosa sapidissima,rare,intermediate,planktivore,coolwater,marine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
63,63,Gizzard Shad,Gizzard Shad,Clupeidae - herrings,Dorosoma cepedianum,common,tolerant,herbivore,coolwater,lacustrine; riverine,pelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
71,71,Pink Salmon,Pink Salmon,Salmonidae - trouts and salmons,Oncorhynchus gorbuscha,uncommon,intolerant,invertivore,coldwater,lacustrine; marine*,pelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
73,73,Coho Salmon,Coho Salmon,Salmonidae - trouts and salmons,Oncorhynchus kisutch,uncommon,intolerant,invertivore/carnivore,coldwater,lacustrine; marine*,pelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
75,75,Chinook Salmon,Chinook Salmon,Salmonidae - trouts and salmons,Oncorhynchus tshawytscha,common,intolerant,invertivore/carnivore,coldwater,lacustrine; marine*,pelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
76,76,Rainbow Trout (steelhead),Rainbow Trout (steelhead),Salmonidae - trouts and salmons,Oncorhynchus mykiss,common,intolerant,invertivore/carnivore,coldwater,lacustrine; riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
77,85,Atlantic Salmon (ouananiche),Atlantic Salmon (ouananiche),Salmonidae - trouts and salmons,Salmo salar,uncommon,intolerant,invertivore/carnivore,coldwater,lacustrine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
78,85,Brown Trout,Brown Trout,Salmonidae - trouts and salmons,Salmo trutta,common,intolerant,invertivore/carnivore,coldwater,lacustrine; riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
79,79,Arctic Char,Arctic Char,Salmonidae - trouts and salmons,Salvelinus alpinus,limited distribution,intolerant,invertivore/carnivore,coldwater,lacustrine; riverine; estuarine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
80,80,Brook (speckled) Trout,Brook (speckled) Trout,Salmonidae - trouts and salmons,Salvelinus fontinalis,common,intolerant,invertivore/carnivore,coldwater,lacustrine; riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
81,81,Lake Trout,Lake Trout,Salmonidae - trouts and salmons,Salvelinus namaycush,common,intolerant,invertivore/carnivore,coldwater,lacustrine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
82,82,splake (backcross),splake (backcross),Salmonidae - trouts and salmons,Salvelinus fontinalis x S. namaycush,uncommon,intolerant,invertivore/carnivore,coldwater,lacustrine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
83,83,Aurora Trout,Aurora Trout,Salmonidae - trouts and salmons,Salvelinus fontinalis timagamiensis,rare,intolerant,invertivore/carnivore,coldwater,lacustrine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
91,91,Lake Whitefish,Lake Whitefish,Salmonidae - trouts and salmons,Coregonus clupeaformis,common,intolerant,invertivore/carnivore,coldwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
93,93,Cisco (lake herring),Cisco (lake herring),Salmonidae - trouts and salmons,Coregonus artedi,common,intolerant,planktivore/invertivore,coldwater,lacustrine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
94,94,Bloater,Bloater,Salmonidae - trouts and salmons,Coregonus hoyi,common,intolerant,planktivore/invertivore,coldwater,lacustrine,pelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
95,95,Deepwater Cisco,Deepwater Cisco,Salmonidae - trouts and salmons,Coregonus johannae,extinct,intolerant,planktivore,coldwater,lacustrine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
96,96,Kiyi,Kiyi,Salmonidae - trouts and salmons,Coregonus kiyi,uncommon,intolerant,planktivore,coldwater,lacustrine,pelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
97,97,Blackfin Cisco,Blackfin Cisco,Salmonidae - trouts and salmons,Coregonus nigripinnis,rare,intolerant,planktivore,coldwater,lacustrine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
98,98,Nipigon Cisco,Nipigon Cisco,Salmonidae - trouts and salmons,Coregonus nipigon,limited distribution,intolerant,planktivore,coldwater,lacustrine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
99,99,Shortnose Cisco,Shortnose Cisco,Salmonidae - trouts and salmons,Coregonus reighardi,rare,intolerant,planktivore,coldwater,lacustrine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
100,100,Shortjaw Cisco,Shortjaw Cisco,Salmonidae - trouts and salmons,Coregonus zenithicus,rare,intolerant,planktivore,coldwater,lacustrine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
101,101,Pygmy Whitefish,Pygmy Whitefish,Salmonidae - trouts and salmons,Prosopium coulterii,limited distribution,intolerant,invertivore,coldwater,lacustrine; riverine,benthopelagic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
102,102,Round Whitefish,Round Whitefish,Salmonidae - trouts and salmons,Prosopium cylindraceum,common,intolerant,invertivore/carnivore,coldwater,lacustrine; riverine,benthopelagic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
121,121,Rainbow Smelt,Rainbow Smelt,Osmeridae - smelts,Osmerus mordax,common,intermediate,invertivore/carnivore,coldwater,lacustrine; marine*,pelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
131,131,Northern Pike,Northern Pike,Esocidae - pikes and mudminnows,Esox lucius,common,intermediate,carnivore,coolwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
132,132,Muskellunge (muskie),Muskellunge (muskie),Esocidae - pikes and mudminnows,Esox masquinongy,common,intermediate,carnivore,warmwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
133,133,Grass Pickerel,Grass Pickerel,Esocidae - pikes and mudminnows,Esox americanus vermiculatus,uncommon,intermediate,invertivore/carnivore,warmwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
135,135,Chain Pickerel,Chain Pickerel,Esocidae - pikes and mudminnows,Esox niger,rare,intermediate,carnivore,warmwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
140,141,,Central Mudminnow,Esocidae - pikes and mudminnows,Umbra limi,common,tolerant,invertivore,coolwater,riverine,benthic,B.1.5,Guarders: Substratum choosers: Phytophils
141,141,Central Mudminnow,Central Mudminnow,Esocidae - pikes and mudminnows,Umbra limi,common,tolerant,invertivore,coolwater,riverine,benthic,B.1.4,Guarders: Substratum choosers: Phytophils
151,151,Goldeye,Goldeye,Hiodontidae - mooneyes,Hiodon alosoides,limited distribution,intolerant,invertivore,coolwater,lacustrine; riverine,pelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
152,152,Mooneye,Mooneye,Hiodontidae - mooneyes,Hiodon tergisus,common,intolerant,invertivore,coolwater,lacustrine; riverine,pelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
161,161,Quillback,Quillback,Catostomidae - suckers,Carpiodes cyprinus,uncommon,intermediate,invertivore/detritivore,coolwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
162,176,Longnose Sucker,Longnose Sucker,Catostomidae - suckers,Catostomus catostomus,common,intermediate,invertivore,coldwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
163,176,White Sucker,White Sucker,Catostomidae - suckers,Catostomus commersonii,common,tolerant,invertivore/detritivore,coolwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
164,200,Lake Chubsucker,Lake Chubsucker,Catostomidae - suckers,Erimyzon sucetta,rare,intermediate,invertivore/herbivore,warmwater,lacustrine; riverine,benthic,A.1.4,Nonguarders: Open substratum spawners: Phyto-lithophils
165,201,Northern Hog Sucker,Northern Hog Sucker,Catostomidae - suckers,Hypentelium nigricans,common,intermediate,invertivore/herbivore,warmwater,riverine,benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
166,178, Buffalo,Bigmouth Buffalo,Catostomidae - suckers,Ictiobus cyprinellus,uncommon,intermediate,invertivore,warmwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
167,206,Spotted Sucker,Spotted Sucker,Catostomidae - suckers,Minytrema melanops,rare,intermediate,invertivore,warmwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
168,177, Redhorse,Silver Redhorse,Catostomidae - suckers,Moxostoma anisurum,uncommon,intermediate,invertivore,coolwater,lacustrine; riverine,benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
169,177, Redhorse,Black Redhorse,Catostomidae - suckers,Moxostoma duquesnei,rare,intolerant,invertivore,warmwater,riverine,benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
170,177, Redhorse,Golden Redhorse,Catostomidae - suckers,Moxostoma erythrurum,uncommon,intermediate,invertivore,warmwater,riverine,benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
171,177, Redhorse,Shorthead Redhorse,Catostomidae - suckers,Moxostoma macrolepidotum,common,intermediate,invertivore,warmwater,lacustrine; riverine,benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
172,177, Redhorse,Greater Redhorse,Catostomidae - suckers,Moxostoma valenciennesi,uncommon,intolerant,invertivore,warmwater,"lacustrine, riverine",benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
173,177, Redhorse,River Redhorse,Catostomidae - suckers,Moxostoma carinatum,rare,intolerant,invertivore,coolwater,riverine,benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
174,178, Buffalo,Black Buffalo,Catostomidae - suckers,Ictiobus niger,rare,intermediate,invertivore/herbivore,warmwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
175,178, Buffalo,Smallmouth Buffalo,Catostomidae - suckers,Ictiobus bubalus,rare,tolerant,benthic insectivore,warmwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
181,181,Goldfish,Goldfish,Cyprinidae - carps and minnows,Carassius auratus,common,tolerant,invertivore/herbivore,warmwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
182,221,Chrosomus,Northern Redbelly Dace,Cyprinidae - carps and minnows,Chrosomus eos,common,intermediate,invertivore/planktivore,coolwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
183,221,Chrosomus,Finescale Dace,Cyprinidae - carps and minnows,Chrosomus neogaeus,common,intermediate,invertivore/planktivore,coolwater,lacustrine; riverine,benthopelagic,A.1.4,Nonguarders: Open substratum spawners: Phyto-lithophils
184,184,Redside Dace,Redside Dace,Cyprinidae - carps and minnows,Clinostomus elongatus,rare,intolerant,invertivore,coolwater,riverine,benthopelagic,A.2.3,Nonguarders: Brood Hiders: Lithophils
185,185,Lake Chub,Lake Chub,Cyprinidae - carps and minnows,Couesius plumbeus,common,intermediate,invertivore/planktivore,coldwater,lacustrine; riverine,benthopelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
186,186,Common Carp,Common Carp,Cyprinidae - carps and minnows,Cyprinus carpio,common,tolerant,invertivore/detritivore,warmwater,lacustrine; riverine,benthopelagic,A.1.4,Nonguarders: Open substratum spawners: Phyto-lithophils
187,180,Cyprinidae,Gravel Chub,Cyprinidae - carps and minnows,Erimystax x-punctatus,extirpated,intolerant,invertivore,coolwater,riverine,benthic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
188,188,Cutlip Minnow,Cutlip Minnow,Cyprinidae - carps and minnows,Exoglossum maxillingua,rare,intolerant,invertivore,warmwater,riverine,benthic,B.2.3,Guarders: Nest spawners: Lithophils
189,180,Cyprinidae,Brassy Minnow,Cyprinidae - carps and minnows,Hybognathus hankinsoni,common,intermediate,planktivore/detritivore,coolwater,lacustrine; riverine,benthic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
190,180,Cyprinidae,Eastern Silvery Minnow,Cyprinidae - carps and minnows,Hybognathus regius,limited distribution,intolerant,herbivore/detritivore,warmwater,lacustrine; riverine,benthic,A.1.4,Nonguarders: Open substratum spawners: Phyto-lithophils
191,180,Cyprinidae,Silver Chub,Cyprinidae - carps and minnows,Macrhybopsis storeriana,rare,intolerant,planktivore/invertivore,coolwater,lacustrine; riverine,benthic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
192,180,Cyprinidae,Hornyhead Chub,Cyprinidae - carps and minnows,Nocomis biguttatus,common,intermediate,invertivore/herbivore,coolwater,riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
193,180,Cyprinidae,River Chub,Cyprinidae - carps and minnows,Nocomis micropogon,common,intermediate,planktivore/invertivore,coolwater,riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
194,180,Cyprinidae,Golden Shiner,Cyprinidae - carps and minnows,Notemigonus crysoleucas,common,intermediate,invertivore/herbivore,coolwater,lacustrine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
195,180,Cyprinidae,Pugnose Shiner,Cyprinidae - carps and minnows,Notropis anogenus,rare,intolerant,detritivore,coolwater,lacustrine; riverine,benthopelagic,A.1.3,Nonguarders: Open substratum spawners: Lithophils
196,180,Cyprinidae,Emerald Shiner,Cyprinidae - carps and minnows,Notropis atherinoides,common,intermediate,planktivore,coolwater,lacustrine; riverine,benthopelagic,A.1.1,Nonguarders: Open substratum spawners: Pelagophils
197,180,Cyprinidae,Bridle Shiner,Cyprinidae - carps and minnows,Notropis bifrenatus,rare,intolerant,planktivore,coolwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
198,198,Common Shiner,Common Shiner,Cyprinidae - carps and minnows,Luxilus cornutus,common,intermediate,invertivore,coolwater,riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
199,180,Cyprinidae,Blackchin Shiner,Cyprinidae - carps and minnows,Notropis heterodon,common,intolerant,invertivore,coolwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
200,180,Cyprinidae,Blacknose Shiner,Cyprinidae - carps and minnows,Notropis heterolepis,common,intolerant,invertivore/herbivore,coolwater,lacustrine; riverine,benthopelagic,A.1.5,Nonguarders: Open substratum spawners: Phytophils
201,180,Cyprinidae,Spottail Shiner,Cyprinidae - carps and minnows,Notropis hudsonius,common,intermediate,invertivore/planktivore,coolwater,lacustrine; riverine,benthopelagic,A.1.2,Nonguarders: Open substratum spawners: Litho-pelagophils
202,180,Cyprinidae,Rosyface Shiner,Cyprinidae - carps and minnows,Notropis rubellus,common,intermediate,invertivore/detritivore/herbivore,warmwater,riverine,benthopelagic,A.2.3,Nonguarders: Brood hiders: Lithophils
203,180,Cyprinidae,Spotfin Shiner,Cyprinidae - carps and minnows,Cyprinella spiloptera,common,intermediate,invertivore/herbivore,warmwater,riverine,benthopelagic,A.2.4,Nonguarders: Brood hiders: Speleophils
